task_id,split,instruction_type,answer_position,parse_ok,parse_detail,n_cells,h,n_formula,recalc_ok,recalc_detail,W_a_pass,W_a_reason,W_pass,sub_gvg,sub_recalc_vs_raw,sub_recalc_vs_raw_reason,load_error
209-30,pool,Sheet-Level Manipulation,'Data to Import'!C1:C6066,True,,6066,0,0,True,ok,True,pass,True,pass,PASS,pass,
22-47,pool,Sheet-Level Manipulation,sheet1!F2:H10,True,,27,0,0,True,ok,False,sheet_missing,False,pass,FAIL,sheet_missing,
290-27,pool,Sheet-Level Manipulation,Sheet1!A14:I137,True,,1116,656,0,True,ok,True,pass,True,pass,PASS,pass,
31915,pool,Cell-Level Manipulation,'Sheet2'!C2:C11,True,,10,6,10,True,ok,True,pass,True,pass,PASS,pass,
32337,pool,Cell-Level Manipulation,E3:E15,True,,13,0,13,True,ok,True,pass,True,pass,PASS,pass,
32902,pool,Cell-Level Manipulation,C6:E9,True,,12,0,12,True,ok,True,pass,True,pass,PASS,pass,
359-21,pool,Sheet-Level Manipulation,'Delete'!A1:B9,True,,18,0,0,True,ok,True,pass,True,pass,PASS,pass,
36097,pool,Cell-Level Manipulation,H3:H6,True,,4,0,4,True,ok,True,pass,True,pass,PASS,pass,
374-31,pool,Sheet-Level Manipulation,'Sheet1'!A1:D5,True,,20,3,0,True,ok,True,pass,True,pass,PASS,pass,
37900,pool,Cell-Level Manipulation,E5,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
388-47,pool,Sheet-Level Manipulation,'Sheet1'!A2:E8,True,,35,0,0,True,ok,True,pass,True,pass,PASS,pass,
38823,pool,Cell-Level Manipulation,I4:I7,True,,4,0,1,True,ok,True,pass,True,pass,PASS,pass,
398-14,pool,Sheet-Level Manipulation,'COLLECTION'!A2:G9,True,,56,0,0,True,ok,True,pass,True,pass,PASS,pass,
40478,pool,Cell-Level Manipulation,B1:B3,True,,3,0,3,True,ok,True,pass,True,pass,PASS,pass,
40757,pool,Cell-Level Manipulation,B10:B11,True,,2,0,0,True,ok,True,pass,True,pass,PASS,pass,
408-39,pool,Sheet-Level Manipulation,'Sheet1'!B6:B10,True,,5,3,0,True,ok,True,pass,True,pass,PASS,pass,
408-5,pool,Sheet-Level Manipulation,Sheet1!A1:E137,True,,685,5,1,True,ok,True,pass,True,pass,PASS,pass,
41589,pool,Cell-Level Manipulation,'Contact List'!J4,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
41601,pool,Cell-Level Manipulation,'Students'!E2:E7,True,,6,0,0,True,ok,True,pass,True,pass,PASS,pass,
423-16,pool,Sheet-Level Manipulation,'master'!A1:AH1,True,,34,5,0,True,ok,True,pass,True,pass,PASS,pass,
42930,pool,Cell-Level Manipulation,C2:C22,True,,21,0,21,True,ok,True,pass,True,pass,PASS,pass,
433-47,pool,Sheet-Level Manipulation,Sheet1!A1:I21,True,,189,69,0,True,ok,True,pass,True,pass,PASS,pass,
43657,pool,Cell-Level Manipulation,K2:K8,True,,7,0,0,True,ok,True,pass,True,pass,PASS,pass,
44628,pool,Cell-Level Manipulation,D3:G3,True,,4,0,4,True,ok,True,pass,True,pass,PASS,pass,
455-35,pool,Sheet-Level Manipulation,Worksheet1!A1:J10411,True,,104110,0,0,True,ok,True,pass,True,pass,PASS,pass,
45738,pool,Cell-Level Manipulation,E6:AB25,True,,480,0,480,True,ok,True,pass,True,pass,PASS,pass,
45896,pool,Cell-Level Manipulation,'Volym P5_P6_2023'!I2:I10,True,,9,0,0,True,ok,True,pass,True,pass,PASS,pass,
46167,pool,Cell-Level Manipulation,D2,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
47827,pool,Cell-Level Manipulation,'3 straights to 3 boxed'!G2:G16,True,,15,0,0,True,ok,True,pass,True,pass,PASS,pass,
48257,pool,Cell-Level Manipulation,C2:C5,True,,4,0,0,True,ok,True,pass,True,pass,FAIL,value_mismatch,
48527,pool,Cell-Level Manipulation,D2:D5,True,,4,0,0,True,ok,True,pass,True,pass,PASS,pass,
48608,pool,Cell-Level Manipulation,F2:F5,True,,4,0,0,True,ok,True,pass,True,pass,PASS,pass,
48983,pool,Cell-Level Manipulation,M6:S11,True,,42,0,42,True,ok,True,pass,True,pass,PASS,pass,
49196,pool,Cell-Level Manipulation,C2:C47,True,,46,0,46,True,ok,True,pass,True,pass,PASS,pass,
493-5,pool,Sheet-Level Manipulation,'Imported Data'!A1:F10,True,,60,12,7,True,ok,True,pass,True,pass,PASS,pass,
50088,pool,Cell-Level Manipulation,F6:F8,True,,3,0,3,True,ok,True,pass,True,pass,PASS,pass,
50521,pool,Cell-Level Manipulation,N4:N6,True,,3,0,0,True,ok,True,pass,True,pass,PASS,pass,
50631,pool,Cell-Level Manipulation,H7:H38,True,,32,0,32,True,ok,True,pass,True,pass,PASS,pass,
51354,pool,Cell-Level Manipulation,E2:E6,True,,5,0,5,True,ok,True,pass,True,pass,PASS,pass,
51359,pool,Cell-Level Manipulation,B15:E15,True,,4,0,0,True,ok,True,pass,True,pass,PASS,pass,
52050,pool,Cell-Level Manipulation,BE3:BE14,True,,12,0,12,True,ok,True,pass,True,pass,PASS,pass,
52216,pool,Cell-Level Manipulation,'INPUTS'!C15:G16,True,,10,0,0,True,ok,True,pass,True,pass,PASS,pass,
52541,pool,Cell-Level Manipulation,J6:J10,True,,5,0,5,True,ok,True,pass,True,pass,PASS,pass,
52807,pool,Cell-Level Manipulation,'Summary'!E6:P9,True,,48,0,48,True,ok,True,pass,True,pass,PASS,pass,
52917,pool,Cell-Level Manipulation,J2:J9,True,,8,0,8,True,ok,True,pass,True,pass,PASS,pass,
531-18,pool,Sheet-Level Manipulation,'Transpose'!A3:C970,True,,2904,0,0,True,ok,True,pass,True,pass,PASS,pass,
53161,pool,Cell-Level Manipulation,F22:AE29,True,,208,0,207,True,ok,True,pass,True,pass,PASS,pass,
54144,pool,Cell-Level Manipulation,'Report'!D3:D10,True,,8,0,0,True,ok,True,pass,True,pass,FAIL,value_mismatch,
54242,pool,Cell-Level Manipulation,E6:E13,True,,8,0,8,True,ok,True,pass,True,pass,PASS,pass,
54717,pool,Cell-Level Manipulation,S10,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
54925,pool,Cell-Level Manipulation,Q2:Q40,True,,39,28,0,True,ok,True,pass,True,pass,PASS,pass,
55060,pool,Cell-Level Manipulation,J23:N23,True,,5,4,1,True,ok,True,pass,True,pass,PASS,pass,
55976,pool,Cell-Level Manipulation,F25:I25,True,,4,0,0,True,ok,True,pass,True,pass,PASS,pass,
560-12,pool,Sheet-Level Manipulation,'工作表1'!I2:J7,True,,12,4,0,True,ok,True,pass,True,pass,PASS,pass,
56378,pool,Cell-Level Manipulation,L5:R8,True,,28,0,0,True,ok,True,pass,True,pass,PASS,pass,
57590,pool,Cell-Level Manipulation,B26,True,,1,0,0,True,ok,True,pass,True,pass,PASS,pass,
58499,pool,Cell-Level Manipulation,A13:A14,True,,2,0,0,True,ok,True,pass,True,pass,PASS,pass,
58687,pool,Cell-Level Manipulation,B9:B100,True,,92,0,0,True,ok,True,pass,True,pass,PASS,pass,
59196,pool,Cell-Level Manipulation,H3:H5,True,,3,0,3,True,ok,True,pass,True,pass,PASS,pass,
59639,pool,Cell-Level Manipulation,D5:K7,True,,24,8,24,True,ok,True,pass,True,pass,PASS,pass,
59734,pool,Cell-Level Manipulation,B2:B16,True,,15,0,1,True,ok,True,pass,True,pass,FAIL,value_mismatch,
59884,pool,Cell-Level Manipulation,I2:O5,True,,28,16,0,True,ok,True,pass,True,pass,FAIL,value_mismatch,
7665,pool,Cell-Level Manipulation,Q2:V2,True,,6,0,6,True,ok,True,pass,True,pass,PASS,pass,
82-30,pool,Sheet-Level Manipulation,'Numbers'!A1:F9,True,,54,2,0,True,ok,True,pass,True,pass,PASS,pass,
82-38,pool,Sheet-Level Manipulation,'DATA'!D2:D20,True,,19,0,0,True,ok,True,pass,True,pass,PASS,pass,
9448,pool,Cell-Level Manipulation,'Data'!U9:U18,True,,10,0,10,True,ok,True,pass,True,pass,PASS,pass,
10452,test,Cell-Level Manipulation,E4:E12,True,,9,0,0,True,ok,True,pass,True,pass,PASS,pass,
105-24,test,Sheet-Level Manipulation,'Open'!C2:C23,True,,22,0,0,True,ok,True,pass,True,pass,PASS,pass,
108-24,test,Sheet-Level Manipulation,'Tema UV COS'!A1:D22,True,,88,0,0,True,ok,True,pass,True,pass,PASS,pass,
109-21,test,Sheet-Level Manipulation,'Sheet1'!Z5:Z43,True,,39,20,0,True,ok,True,pass,True,pass,PASS,pass,
11276,test,Cell-Level Manipulation,F3:AJ3,True,,31,0,31,True,ok,True,pass,True,pass,PASS,pass,
118-50,test,Sheet-Level Manipulation,'Sheet1'!C2:D5000,True,,9998,9976,0,True,ok,True,pass,True,pass,PASS,pass,
11842,test,Cell-Level Manipulation,'Total'!O5:Z12,True,,96,0,0,True,ok,True,pass,True,pass,PASS,pass,
12307,test,Cell-Level Manipulation,I12:I13,True,,2,0,0,True,ok,True,pass,True,pass,PASS,pass,
13-1,test,Sheet-Level Manipulation,LISTS!A3:D32,True,,120,28,0,True,ok,True,pass,True,pass,PASS,pass,
13284,test,Cell-Level Manipulation,'Base'!E2:E26,True,,25,10,0,True,ok,True,pass,True,pass,PASS,pass,
141-20,test,Sheet-Level Manipulation,"'PL Recon Items!'A1:D2,'Statement Recon Items!'A1:J3",True,,38,4,0,True,ok,True,pass,True,pass,PASS,pass,
142-12,test,Sheet-Level Manipulation,'Sheet1'!F1:J15,True,,75,30,0,True,ok,True,pass,True,pass,PASS,pass,
142-19,test,Sheet-Level Manipulation,'Sheet1'!A1:B82,True,,164,12,0,True,ok,True,pass,True,pass,PASS,pass,
14240,test,Cell-Level Manipulation,U4:U75,True,,72,0,0,True,ok,True,pass,True,pass,PASS,pass,
15380,test,Cell-Level Manipulation,B3:B14,True,,12,0,12,True,ok,True,pass,True,pass,PASS,pass,
156-14,test,Sheet-Level Manipulation,"'99250!A1:F9','99251!A1:F9','99252!A1:F8'",True,,156,90,0,True,ok,True,pass,True,pass,PASS,pass,
1563,test,Cell-Level Manipulation,B2:B30,True,,29,0,29,True,ok,True,pass,True,pass,PASS,pass,
15671,test,Cell-Level Manipulation,B1:B260,True,,260,0,260,True,ok,True,pass,True,pass,PASS,pass,
157-4,test,Sheet-Level Manipulation,'Sheet1'!E9:M83,True,,675,273,0,True,ok,True,pass,True,pass,PASS,pass,
160-6,test,Sheet-Level Manipulation,'SH'!A6:L11,True,,72,6,0,True,ok,True,pass,True,pass,PASS,pass,
16511,test,Cell-Level Manipulation,F2:F10,True,,9,0,9,True,ok,True,pass,True,pass,PASS,pass,
168-17,test,Sheet-Level Manipulation,'Statement'!A2:E12,True,,55,0,0,True,ok,True,pass,True,pass,PASS,pass,
17-35,test,Sheet-Level Manipulation,FILTER 5b!I6:M295,True,,1450,5,0,True,ok,True,pass,True,pass,PASS,pass,
170-13,test,Sheet-Level Manipulation,"'Sheet1!'A1:A50,'Sheet2!'A1:E20,'Sheet3!'A1:A50'",True,,200,19,0,True,ok,True,pass,True,pass,PASS,pass,
17111,test,Cell-Level Manipulation,'Summary'!B2:C6,True,,10,0,0,True,ok,True,pass,True,pass,PASS,pass,
178-22,test,Sheet-Level Manipulation,'Sheet2'!A1:C18,True,,54,3,0,True,ok,True,pass,True,pass,PASS,pass,
1818,test,Cell-Level Manipulation,'Summary'!B3:C68,True,,132,100,0,True,ok,True,pass,True,pass,PASS,pass,
192-22,test,Sheet-Level Manipulation,'Sheet1'!F2:F71,True,,70,52,0,True,ok,True,pass,True,pass,PASS,pass,
1925,test,Cell-Level Manipulation,'Sheet1'!C6:C31,True,,26,0,26,True,ok,True,pass,True,pass,PASS,pass,
203-15,test,Sheet-Level Manipulation,'Output Required'!A1:M3,True,,39,0,2,True,ok,True,pass,True,pass,PASS,pass,
208-20,test,Sheet-Level Manipulation,'Q'!A1:F37,True,,222,63,35,True,ok,True,pass,True,pass,PASS,pass,
227-40,test,Sheet-Level Manipulation,'Sheet1'!A14:E17,True,,20,3,0,True,ok,True,pass,True,pass,PASS,pass,
23-24,test,Sheet-Level Manipulation,Sheet1!A1:E1102,True,,5510,4426,0,True,ok,True,pass,True,pass,PASS,pass,
230-16,test,Sheet-Level Manipulation,'Before'!A1:A12,True,,12,3,0,True,ok,True,pass,True,pass,PASS,pass,
236-22,test,Sheet-Level Manipulation,'Sheet1'!A1:E7,True,,35,17,0,True,ok,True,pass,True,pass,PASS,pass,
24-23,test,Sheet-Level Manipulation,Sheet1!A2:D207,True,,824,184,0,True,ok,True,pass,True,pass,PASS,pass,
247-24,test,Sheet-Level Manipulation,'Main!'A2:M70,True,,897,260,215,True,ok,True,pass,True,pass,PASS,pass,
250-20,test,Sheet-Level Manipulation,'RNM'!A1:J20,True,,200,20,0,True,ok,True,pass,True,pass,PASS,pass,
254-34,test,Sheet-Level Manipulation,'Before'!C2,True,,1,0,0,True,ok,True,pass,True,pass,PASS,pass,
263-1,test,Sheet-Level Manipulation,Sheet1!H2:H4,True,,3,0,3,True,ok,True,pass,True,pass,PASS,pass,
267-18,test,Sheet-Level Manipulation,Folha1!G1:G2,True,,2,0,2,True,ok,True,pass,True,pass,PASS,pass,
267-21,test,Sheet-Level Manipulation,merging'!C2:D11,True,,20,0,0,True,ok,True,pass,True,pass,PASS,pass,
269-44,test,Sheet-Level Manipulation,Sheet1!A1:A15,True,,15,1,0,True,ok,True,pass,True,pass,PASS,pass,
2768,test,Cell-Level Manipulation,'Sheet1'!H2:H18,True,,17,0,1,True,ok,True,pass,True,pass,PASS,pass,
279-23,test,Sheet-Level Manipulation,Sheet1!A3:B26,True,,48,8,0,True,ok,True,pass,True,pass,PASS,pass,
28-7,test,Sheet-Level Manipulation,Sheet1!A1:C26,True,,78,21,0,True,ok,True,pass,True,pass,PASS,pass,
280-17,test,Sheet-Level Manipulation,Sheet1!A1:B12,True,,24,0,0,True,ok,True,pass,True,pass,PASS,pass,
290-1,test,Sheet-Level Manipulation,Sheet1!K2:U10,True,,99,55,0,True,ok,True,pass,True,pass,PASS,pass,
297-42,test,Sheet-Level Manipulation,combined'!A2:O822,True,,12315,0,0,True,ok,True,pass,True,pass,PASS,pass,
3002,test,Cell-Level Manipulation,G5:G15,True,,11,0,11,True,ok,True,pass,True,pass,PASS,pass,
302-1,test,Sheet-Level Manipulation,"'SHEET1'!B2:B8,'SHEET2'!B2:B7",True,,13,0,0,True,ok,True,pass,True,pass,PASS,pass,
30930,test,Cell-Level Manipulation,C2:C66,True,,65,54,65,True,ok,True,pass,True,pass,PASS,pass,
31202,test,Cell-Level Manipulation,J2:J47,True,,46,0,46,True,ok,True,pass,True,pass,PASS,pass,
31628,test,Cell-Level Manipulation,B1,True,,1,0,0,True,ok,True,pass,True,pass,PASS,pass,
31746,test,Cell-Level Manipulation,Q3:Q38,True,,36,0,0,True,ok,True,pass,True,pass,PASS,pass,
32023,test,Cell-Level Manipulation,B2:B17,True,,16,2,14,True,ok,True,pass,True,pass,PASS,pass,
32093,test,Cell-Level Manipulation,F2:F15,True,,14,0,14,True,ok,True,pass,True,pass,PASS,pass,
32255,test,Cell-Level Manipulation,D2:D13,True,,12,4,12,True,ok,True,pass,True,pass,PASS,pass,
32293,test,Cell-Level Manipulation,B14:B17,True,,4,0,4,True,ok,True,pass,True,pass,PASS,pass,
32438,test,Cell-Level Manipulation,J2:J4,True,,3,0,3,True,ok,True,pass,True,pass,PASS,pass,
325-44,test,Sheet-Level Manipulation,'Output'!A1:G10,True,,70,0,0,True,ok,True,pass,True,pass,PASS,pass,
32562,test,Cell-Level Manipulation,B2:B21,True,,20,0,20,True,ok,True,pass,True,pass,PASS,pass,
32612,test,Cell-Level Manipulation,E2:E75,True,,74,0,74,True,ok,True,pass,True,pass,PASS,pass,
32789,test,Cell-Level Manipulation,C4:D14,True,,22,14,14,True,ok,True,pass,True,pass,PASS,pass,
33157,test,Cell-Level Manipulation,'Sheet1'!K2:K6,True,,5,0,4,True,ok,True,pass,True,pass,PASS,pass,
333-29,test,Sheet-Level Manipulation,B'!F4,True,,1,0,0,True,ok,True,pass,True,pass,PASS,pass,
334-11,test,Sheet-Level Manipulation,'imported Data'!C1:C7,True,,7,0,0,True,ok,True,pass,True,pass,PASS,pass,
33722,test,Cell-Level Manipulation,E2:E6,True,,5,0,0,True,ok,True,pass,True,pass,PASS,pass,
34033,test,Cell-Level Manipulation,K6:K10,True,,5,0,0,True,ok,True,pass,True,pass,PASS,pass,
341-14,test,Sheet-Level Manipulation,'result'!A1:B28,True,,56,1,0,True,ok,True,pass,True,pass,PASS,pass,
3413,test,Cell-Level Manipulation,G3:G6,True,,4,0,1,True,ok,True,pass,True,pass,PASS,pass,
343-20,test,Sheet-Level Manipulation,'Duplicates'!A1:E5,True,,25,0,0,True,ok,True,pass,True,pass,PASS,pass,
353-29,test,Sheet-Level Manipulation,'Sheet1'!A1:B90,True,,180,0,0,True,ok,True,pass,True,pass,PASS,pass,
353-6,test,Sheet-Level Manipulation,'Data'!A1:AH20,True,,680,71,0,True,ok,True,pass,True,pass,PASS,pass,
35747,test,Cell-Level Manipulation,M2,True,,1,0,0,True,ok,True,pass,True,pass,PASS,pass,
36191,test,Cell-Level Manipulation,C2:C3,True,,2,0,2,True,ok,True,pass,True,pass,PASS,pass,
36277,test,Cell-Level Manipulation,I2:I5,True,,4,0,4,True,ok,True,pass,True,pass,PASS,pass,
367-23,test,Sheet-Level Manipulation,'final Recon Items'!A1:D5,True,,20,0,0,True,ok,True,pass,True,pass,PASS,pass,
36764,test,Cell-Level Manipulation,'Sheet1'!C2,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
37086,test,Cell-Level Manipulation,D2:D5,True,,4,0,4,True,ok,True,pass,True,pass,PASS,pass,
37229,test,Cell-Level Manipulation,C3:G14,True,,60,41,60,True,ok,True,pass,True,pass,PASS,pass,
37378,test,Cell-Level Manipulation,A2:A6,True,,5,2,0,True,ok,True,pass,True,pass,PASS,pass,
374-18,test,Sheet-Level Manipulation,'Sheet1'!A2:G6,True,,35,6,0,True,ok,True,pass,True,pass,PASS,pass,
37456,test,Cell-Level Manipulation,G12:J15,True,,16,0,15,True,ok,True,pass,True,pass,PASS,pass,
37462,test,Cell-Level Manipulation,F4:F244,True,,241,0,0,True,ok,True,pass,True,pass,PASS,pass,
37554,test,Cell-Level Manipulation,F2:F17,True,,16,0,1,True,ok,True,pass,True,pass,PASS,pass,
379-36,test,Sheet-Level Manipulation,'Sheet1'!E2:E17,True,,16,0,0,True,ok,True,pass,True,pass,PASS,pass,
382-10,test,Sheet-Level Manipulation,'Sheet1'!A1:A19,True,,19,14,0,True,ok,True,pass,True,pass,PASS,pass,
382-29,test,Sheet-Level Manipulation,'Totals'!B2:B26,True,,25,0,0,True,ok,True,pass,True,pass,PASS,pass,
384-4,test,Sheet-Level Manipulation,Result'!A2:A8,True,,7,0,0,True,ok,True,pass,True,pass,PASS,pass,
38462,test,Cell-Level Manipulation,C1:C2,True,,2,0,2,True,ok,True,pass,True,pass,PASS,pass,
38537,test,Cell-Level Manipulation,A3:A36,True,,34,15,34,True,ok,True,pass,True,pass,PASS,pass,
387-16,test,Sheet-Level Manipulation,'Sheet1'!A2:D18,True,,68,42,0,True,ok,True,pass,True,pass,PASS,pass,
38703,test,Cell-Level Manipulation,H2:H24,True,,23,20,0,True,ok,True,pass,True,pass,PASS,pass,
38969,test,Cell-Level Manipulation,R2:R20,True,,19,0,19,True,ok,True,pass,True,pass,PASS,pass,
38985,test,Cell-Level Manipulation,D8:D11,True,,4,0,0,True,ok,True,pass,True,pass,PASS,pass,
39046,test,Cell-Level Manipulation,F2:F6,True,,5,0,5,True,ok,True,pass,True,pass,PASS,pass,
3911,test,Cell-Level Manipulation,H2:P8,True,,63,0,63,True,ok,True,pass,True,pass,PASS,pass,
39190,test,Cell-Level Manipulation,C2:C36,True,,35,22,35,True,ok,True,pass,True,pass,PASS,pass,
39432,test,Cell-Level Manipulation,M2:M5,True,,4,0,0,True,ok,True,pass,True,pass,PASS,pass,
395-36,test,Sheet-Level Manipulation,'MyResult'!A1:O20,True,,300,201,0,True,ok,True,pass,True,pass,PASS,pass,
39667,test,Cell-Level Manipulation,A20:A26,True,,7,5,7,True,ok,True,pass,True,pass,PASS,pass,
399-14,test,Sheet-Level Manipulation,'Sheet1'!N7:O23,True,,34,11,0,True,ok,True,pass,True,pass,PASS,pass,
39903,test,Cell-Level Manipulation,C2:C6,True,,5,0,0,True,ok,True,pass,True,pass,FAIL,value_mismatch,
39931,test,Cell-Level Manipulation,C4:F6,True,,12,0,0,True,ok,True,pass,True,pass,PASS,pass,
40892,test,Cell-Level Manipulation,B2:B17,True,,16,6,0,True,ok,True,pass,True,pass,PASS,pass,
409-45,test,Sheet-Level Manipulation,'DATA'!A1:E19,True,,95,10,0,True,ok,True,pass,True,pass,PASS,pass,
41-47,test,Sheet-Level Manipulation,"OUT CAS'!A2:C1529,'OUT CAS'!E2:G586,'OUT CAS'!I2:K13,'OUT CAS'!L2:O8",True,,6403,17,0,True,ok,True,pass,True,pass,PASS,pass,
41265,test,Cell-Level Manipulation,E2:E5,True,,4,0,0,True,ok,True,pass,True,pass,PASS,pass,
41348,test,Cell-Level Manipulation,Q2:Q11,True,,10,0,10,True,ok,True,pass,True,pass,PASS,pass,
414-20,test,Sheet-Level Manipulation,'Sheet1'!A4:A18,True,,15,0,0,True,ok,True,pass,True,pass,PASS,pass,
41410,test,Cell-Level Manipulation,F4:H6,True,,9,0,0,True,ok,True,pass,True,pass,PASS,pass,
41420,test,Cell-Level Manipulation,C2:G8,True,,35,13,0,True,ok,True,pass,True,pass,PASS,pass,
416-15,test,Sheet-Level Manipulation,'Sheet1'!A2:A19,True,,18,0,0,True,ok,True,pass,True,pass,PASS,pass,
416-27,test,Sheet-Level Manipulation,'Sheet1'!A3:A24,True,,22,3,0,True,ok,True,pass,True,pass,PASS,pass,
41691,test,Cell-Level Manipulation,B7,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
41969,test,Cell-Level Manipulation,A6:C6,True,,3,0,3,True,ok,True,pass,True,pass,PASS,pass,
41978,test,Cell-Level Manipulation,I2:I11,True,,10,0,10,True,ok,True,pass,True,pass,PASS,pass,
42181,test,Cell-Level Manipulation,B13,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
42198,test,Cell-Level Manipulation,C2:C7,True,,6,0,6,True,ok,True,pass,True,pass,PASS,pass,
42216,test,Cell-Level Manipulation,B20:B339,True,,320,0,0,True,ok,True,pass,True,pass,PASS,pass,
42354,test,Cell-Level Manipulation,D2:D8,True,,7,1,0,True,ok,True,pass,True,pass,FAIL,value_mismatch,
42515,test,Cell-Level Manipulation,F5:F19,True,,15,0,0,True,ok,True,pass,True,pass,PASS,pass,
42526,test,Cell-Level Manipulation,B2:B16,True,,15,0,0,True,ok,True,pass,True,pass,PASS,pass,
42902,test,Cell-Level Manipulation,D1:F7,True,,21,0,0,True,ok,True,pass,True,pass,PASS,pass,
43213,test,Cell-Level Manipulation,B12:B15,True,,4,0,4,True,ok,True,pass,True,pass,PASS,pass,
43436,test,Cell-Level Manipulation,I2:K6,True,,15,0,15,True,ok,True,pass,True,pass,PASS,pass,
43589,test,Cell-Level Manipulation,B2,True,,1,0,1,True,ok,True,pass,True,pass,PASS,pass,
438-18,test,Sheet-Level Manipulation,'OUPUT'!A1:D6,True,,24,0,0,True,ok,True,pass,True,pass,PASS,pass,
440-24,test,Sheet-Level Manipulation,'Sheet1'!B3:B22,True,,20,0,0,True,ok,True,pass,True,pass,PASS,pass,
44296,test,Cell-Level Manipulation,'Sheet2'!D3:D104,True,,102,0,0,True,ok,True,pass,True,pass,PASS,pass,
448-11,test,Sheet-Level Manipulation,'Sheet1'!A2:J16,True,,150,10,0,True,ok,True,pass,True,pass,PASS,pass,
44913,test,Cell-Level Manipulation,D2:D13,True,,12,9,0,True,ok,True,pass,True,pass,PASS,pass,
45063,test,Cell-Level Manipulation,Sheet1!B2:B6,True,,5,3,5,True,ok,True,pass,True,pass,PASS,pass,
45372,test,Cell-Level Manipulation,E2:E15,True,,14,1,13,True,ok,True,pass,True,pass,PASS,pass,
45635,test,Cell-Level Manipulation,B5:E7,True,,12,0,12,True,ok,True,pass,True,pass,PASS,pass,
45707,test,Cell-Level Manipulation,D2:D69,True,,68,66,0,True,ok,True,pass,True,pass,PASS,pass,
45937,test,Cell-Level Manipulation,E7:E9,True,,3,0,3,True,ok,True,pass,True,pass,PASS,pass,
45944,test,Cell-Level Manipulation,"G4:G6, G11:G13, G20:G22",True,,9,0,0,True,ok,True,pass,True,pass,PASS,pass,
46121,test,Cell-Level Manipulation,'2022'!B5:M8,True,,48,0,48,True,ok,True,pass,True,pass,PASS,pass,
46240,test,Cell-Level Manipulation,J2:J4,True,,3,0,3,True,ok,True,pass,True,pass,PASS,pass,
463-17,test,Sheet-Level Manipulation,'Sheet1'!D2:D46,True,,45,0,0,True,ok,True,pass,True,pass,PASS,pass,
46646,test,Cell-Level Manipulation,B11:M11,True,,12,0,12,True,ok,True,pass,True,pass,FAIL,value_mismatch,
